EmployeeID,AbsenceDays
1,17
2,13
3,7
4,14
5,4
6,12
7,17
8,6
9,19
10,15
11,8
12,8
13,20
14,14
15,8
16,12
17,22
18,3
19,17
20,18
21,17
22,16
23,17
24,7
25,18
26,8
27,10
28,13
29,6
30,19
31,11
32,7
33,15
34,6
35,9
36,17
37,7
38,19
39,22
40,10
41,5
42,14
43,7
44,9
45,5
46,9
47,14
48,12
49,22
50,21
51,7
52,12
53,10
54,13
55,5
56,12
57,4
58,22
59,6
60,10
61,5
62,10
63,18
64,6
65,12
66,2
67,17
68,22
69,21
70,3
71,7
72,6
73,14
74,18
75,17
76,11
77,7
78,18
79,19
80,10
81,17
82,5
83,13
84,7
85,11
86,5
87,16
88,12
89,10
90,10
91,12
92,16
93,21
94,18
95,16
96,2
97,4
98,6
99,10
100,5
101,17
102,11
103,14
104,16
105,20
106,18
107,18
108,21
109,16
110,19
111,15
112,3
113,19
114,4
115,13
116,15
117,17
118,9
119,21
120,15
121,14
122,13
123,19
124,18
125,9
126,18
127,13
128,9
129,9
130,19
131,14
132,4
133,14
134,11
135,22
136,15
137,17
138,22
139,11
140,17
141,16
142,17
143,4
144,10
145,4
146,8
147,13
148,13
149,6
150,12
151,14
152,16
153,19
154,17
155,12
156,11
157,13
158,22
159,12
160,19
161,22
162,15
163,7
164,12
165,15
166,10
167,18
168,6
169,9
170,18
171,19
172,7
173,15
174,8
175,15
176,15
177,13
178,15
179,5
180,8
181,7
182,21
183,12
184,13
185,5
186,15
187,18
188,15
189,19
190,16
191,5
192,7
193,7
194,13
195,23
196,5
197,21
198,8
199,15
200,8
201,10
202,19
203,20
204,21
205,12
206,16
207,9
208,21
209,10
210,8
211,5
212,8
213,7
214,10
215,12
216,8
217,18
218,7
219,17
220,5
221,22
222,3
223,16
224,18
225,10
226,10
227,15
228,10
229,6
230,7
231,14
232,4
233,7
234,6
235,12
236,21
237,16
238,10
239,19
240,18
241,22
242,14
243,7
244,12
245,14
246,10
247,21
248,5
249,11
250,15
251,12
252,7
253,21
254,12
255,19
256,11
257,3
258,18
259,15
260,8
261,7
262,20
263,19
264,15
265,20
266,3
267,17
268,8
269,16
270,15
271,3
272,16
273,18
274,19
275,18
276,7
277,19
278,22
279,12
280,12
281,16
282,22
283,20
284,11
285,20
286,8
287,20
288,16
289,6
290,10
291,13
292,6
293,18
294,8
295,16
296,15
297,5
298,20
299,22
300,18
301,22
302,12
303,11
304,19
305,11
306,17
307,14
308,17
309,17
310,5
311,10
312,17
313,7
314,17
315,9
316,19
317,10
318,5
319,11
320,6
321,7
322,18
323,5
324,21
325,6
326,20
327,7
328,12
329,8
330,12
331,13
332,1
333,8
334,7
335,11
336,21
337,16
338,17
339,12
340,17
341,19
342,21
343,18
344,17
345,4
346,18
347,6
348,7
349,14
350,18
351,21
352,18
353,15
354,11
355,5
356,7
357,19
358,4
359,18
360,10
361,11
362,8
363,18
364,14
365,15
366,19
367,4
368,12
369,7
370,15
371,8
372,22
373,17
374,8
375,19
376,7
377,6
378,20
379,18
380,20
381,12
382,8
383,19
384,14
385,13
386,10
387,9
388,7
389,16
390,13
391,14
392,5
393,15
394,5
395,12
396,21
397,4
398,14
399,2
400,12
401,10
402,22
403,5
404,8
405,15
406,4
407,5
408,12
409,8
410,18
411,13
412,10
413,10
414,3
415,21
416,11
417,10
418,6
419,11
420,17
421,10
422,5
423,10
424,5
425,7
426,16
427,23
428,8
429,16
430,11
431,8
432,7
433,18
434,4
435,14
436,12
437,5
438,23
439,12
440,20
441,12
442,11
443,19
444,7
445,20
446,21
447,12
448,19
449,12
450,14
451,7
452,11
453,17
454,13
455,5
456,8
457,19
458,8
459,18
460,16
461,7
462,7
463,14
464,6
465,5
466,7
467,5
468,17
469,7
470,14
471,19
472,9
473,16
474,8
475,21
476,19
477,21
478,6
479,18
480,11
481,12
482,6
483,11
484,21
485,13
486,4
487,15
488,13
489,22
490,21
491,16
492,13
493,5
494,21
495,8
496,9
497,14
498,6
499,11
500,6
501,8
502,5
503,7
504,15
505,18
506,5
507,7
508,11
509,15
510,19
511,23
512,4
513,15
514,12
515,16
516,17
517,22
518,8
519,6
520,20
521,10
522,7
523,16
524,18
525,6
526,12
527,19
528,11
529,6
530,18
531,6
532,8
533,16
534,15
535,20
536,3
537,15
538,4
539,9
540,16
541,15
542,5
543,14
544,3
545,6
546,20
547,21
548,17
549,7
550,2
551,19
552,12
553,11
554,17
555,5
556,16
557,6
558,13
559,16
560,19
561,21
562,21
563,20
564,19
565,19
566,17
567,3
568,4
569,23
570,13
571,15
572,15
573,11
574,18
575,5
576,16
577,19
578,7
579,10
580,15
581,18
582,18
583,22
584,21
585,11
586,6
587,8
588,8
589,12
590,6
591,9
592,7
593,21
594,23
595,11
596,10
597,5
598,6
599,15
600,18
601,6
602,12
603,12
604,13
605,17
606,12
607,9
608,15
609,23
610,10
611,23
612,12
613,13
614,22
615,23
616,20
617,7
618,12
619,11
620,19
621,9
622,10
623,14
624,15
625,11
626,15
627,19
628,5
629,11
630,4
631,5
632,16
633,10
634,15
635,13
636,19
637,5
638,9
639,13
640,9
641,11
642,20
643,6
644,7
645,18
646,4
647,8
648,11
649,11
650,16
651,15
652,16
653,22
654,5
655,4
656,18
657,9
658,8
659,11
660,9
661,3
662,15
663,9
664,19
665,14
666,14
667,3
668,15
669,18
670,2
671,12
672,17
673,20
674,5
675,15
676,16
677,17
678,22
679,8
680,5
681,21
682,11
683,7
684,12
685,9
686,13
687,12
688,16
689,10
690,11
691,5
692,5
693,19
694,17
695,14
696,20
697,10
698,21
699,17
700,9
701,10
702,5
703,14
704,15
705,11
706,12
707,20
708,22
709,20
710,21
711,15
712,7
713,10
714,22
715,5
716,20
717,12
718,6
719,14
720,15
721,13
722,15
723,11
724,8
725,23
726,16
727,15
728,10
729,2
730,20
731,11
732,11
733,9
734,17
735,10
736,8
737,12
738,11
739,18
740,8
741,24
742,12
743,14
744,19
745,19
746,21
747,20
748,8
749,11
750,20
751,19
752,3
753,16
754,15
755,9
756,4
757,13
758,21
759,15
760,6
761,11
762,4
763,12
764,12
765,16
766,17
767,8
768,13
769,12
770,22
771,6
772,19
773,8
774,11
775,6
776,20
777,14
778,23
779,6
780,15
781,14
782,15
783,7
784,16
785,19
786,15
787,8
788,9
789,5
790,11
791,13
792,10
793,22
794,15
795,19
796,19
797,13
798,20
799,5
800,6
801,7
802,22
803,16
804,10
805,6
806,6
807,7
808,14
809,5
810,9
811,5
812,9
813,22
814,16
815,5
816,19
817,18
818,10
819,21
820,8
821,20
822,21
823,8
824,20
825,15
826,19
827,15
828,19
829,13
830,17
831,9
832,18
833,11
834,16
835,10
836,5
837,6
838,7
839,5
840,7
841,7
