Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
51,0,1,Sales,6,2,Life Sciences,1,0,1,Healthcare Representative,1,131160.0,1,0.11,0,1,6,1,0,0,3.0,4.0,2.0,3,3
31,1,2,Research & Development,10,1,Life Sciences,2,0,1,Research Scientist,0,41890.0,0,0.23,1,6,3,5,1,4,3.0,2.0,4.0,2,4
32,0,2,Research & Development,17,4,Other,3,1,4,Sales Executive,1,193280.0,1,0.15,3,5,2,5,0,3,2.0,2.0,1.0,3,3
38,0,0,Research & Development,2,5,Life Sciences,4,1,3,Human Resources,1,83210.0,3,0.11,3,13,5,8,7,5,4.0,4.0,3.0,2,3
32,0,1,Research & Development,10,1,Medical,5,1,1,Sales Executive,0,23420.0,4,0.12,2,9,2,6,0,4,4.0,1.0,3.0,3,3
46,0,1,Research & Development,8,3,Life Sciences,6,0,4,Research Director,1,40710.0,3,0.13,0,28,5,7,7,7,3.0,2.0,2.0,3,3
28,1,1,Research & Development,11,2,Medical,7,1,2,Sales Executive,0,58130.0,2,0.2,1,5,2,0,0,0,1.0,3.0,1.0,3,4
29,0,1,Research & Development,18,3,Life Sciences,8,1,2,Sales Executive,1,31430.0,2,0.22,3,10,2,0,0,0,1.0,2.0,3.0,3,4
31,0,1,Research & Development,1,3,Life Sciences,9,1,3,Laboratory Technician,1,20440.0,0,0.21,0,10,2,9,7,8,2.0,4.0,3.0,3,4
25,0,0,Research & Development,7,4,Medical,10,0,4,Laboratory Technician,2,134640.0,1,0.13,1,6,2,6,1,5,2.0,1.0,3.0,3,3
45,0,1,Research & Development,17,2,Medical,11,1,2,Laboratory Technician,1,79910.0,0,0.13,2,21,2,20,4,10,3.0,4.0,3.0,2,3
36,0,1,Research & Development,28,1,Life Sciences,12,1,1,Laboratory Technician,1,33770.0,0,0.12,2,16,2,15,10,11,3.0,4.0,3.0,3,3
55,0,1,Research & Development,14,4,Life Sciences,13,0,1,Sales Executive,0,55380.0,0,0.17,0,37,2,36,4,13,4.0,1.0,3.0,3,3
47,1,0,Research & Development,1,1,Medical,14,1,1,Research Scientist,1,57620.0,1,0.11,2,10,4,10,9,9,1.0,2.0,2.0,2,3
28,0,1,Research & Development,1,3,Life Sciences,15,1,1,Manufacturing Director,1,25920.0,1,0.14,0,5,2,5,0,4,4.0,4.0,2.0,3,3
37,0,1,Research & Development,1,3,Life Sciences,16,1,2,Healthcare Representative,1,53460.0,4,0.11,0,7,2,5,0,1,3.0,4.0,4.0,3,3
21,0,1,Research & Development,3,2,Life Sciences,17,1,1,Laboratory Technician,0,42130.0,1,0.12,3,3,3,3,1,0,4.0,3.0,4.0,2,3
37,0,0,Research & Development,1,3,Medical,18,1,2,Sales Executive,2,41270.0,2,0.13,1,15,2,5,0,2,1.0,4.0,3.0,3,3
35,0,1,Sales,7,4,Life Sciences,19,1,1,Sales Representative,2,24380.0,7,0.16,0,10,5,7,6,2,2.0,2.0,2.0,2,3
38,0,1,Research & Development,8,3,Life Sciences,20,0,1,Manager,2,68700.0,1,0.11,1,8,5,8,7,7,1.0,1.0,3.0,3,3
26,0,2,Research & Development,1,4,Other,21,1,2,Laboratory Technician,2,104470.0,1,0.18,0,6,3,6,1,4,3.0,2.0,1.0,3,3
50,0,1,Sales,8,4,Life Sciences,22,1,1,Research Scientist,2,96670.0,3,0.23,0,28,2,10,1,6,1.0,2.0,2.0,2,4
53,0,1,Research & Development,11,4,Life Sciences,23,0,2,Research Scientist,1,21480.0,3,0.11,0,21,2,5,1,3,3.0,3.0,2.0,3,3
29,0,2,Research & Development,16,4,Medical,25,1,1,Laboratory Technician,0,65130.0,1,0.11,1,10,2,10,0,9,2.0,4.0,2.0,3,3
55,0,1,Research & Development,1,4,Other,26,0,1,Research Scientist,1,67990.0,3,0.11,0,12,2,10,0,8,2.0,4.0,3.0,3,3
26,0,2,Research & Development,9,3,Life Sciences,27,0,1,Manager,1,162910.0,1,0.22,0,5,3,5,3,3,1.0,1.0,3.0,3,4
37,0,1,Sales,5,1,Marketing,28,1,1,Research Scientist,0,27050.0,1,0.11,0,17,2,17,5,7,4.0,4.0,3.0,3,3
44,1,2,Research & Development,1,2,Medical,29,1,2,Research Scientist,2,103330.0,3,0.14,1,19,2,1,0,0,4.0,3.0,1.0,2,3
38,0,1,Sales,2,3,Marketing,30,0,1,Manager,2,44480.0,9,0.12,0,10,3,2,1,2,4.0,4.0,3.0,2,3
26,1,1,Research & Development,4,3,Medical,31,1,3,Research Scientist,2,68540.0,2,0.11,0,5,5,3,0,2,1.0,2.0,3.0,2,3
28,0,1,Research & Development,7,3,Other,32,1,1,Human Resources,0,96370.0,1,0.13,0,5,6,5,0,2,4.0,4.0,3.0,2,3
49,0,2,Research & Development,1,1,Medical,33,0,2,Research Scientist,0,35910.0,9,0.13,0,22,2,3,1,2,3.0,1.0,3.0,3,3
36,0,1,Sales,5,3,Technical Degree,34,1,3,Sales Executive,0,54050.0,4,0.14,0,10,2,8,7,7,3.0,2.0,3.0,3,3
31,0,2,Research & Development,9,4,Medical,35,1,1,Sales Executive,2,46840.0,1,0.16,1,2,4,2,2,2,4.0,2.0,2.0,3,3
26,1,1,Research & Development,8,3,Medical,36,1,2,Manager,0,157870.0,1,0.12,2,8,5,8,7,4,4.0,4.0,3.0,3,3
37,0,2,Sales,9,1,Marketing,37,1,1,Laboratory Technician,1,15140.0,1,0.14,0,4,3,4,1,2,2.0,4.0,2.0,3,3
42,0,2,Sales,2,2,Marketing,38,1,3,Research Director,1,29560.0,5,0.13,0,23,2,20,4,8,3.0,2.0,4.0,3,3
18,1,1,Research & Development,1,4,Life Sciences,39,1,1,Sales Executive,0,23350.0,1,0.14,2,0,3,0,0,0,3.0,3.0,3.0,2,3
35,0,1,Sales,20,2,Life Sciences,40,1,1,Laboratory Technician,1,51540.0,0,0.19,0,12,2,11,6,9,3.0,2.0,2.0,2,3
36,0,2,Research & Development,8,3,Other,41,0,3,Sales Executive,1,69620.0,4,0.12,2,4,2,1,0,0,3.0,3.0,3.0,2,3
51,0,1,Research & Development,2,3,Life Sciences,42,1,2,Laboratory Technician,2,56750.0,5,0.13,0,13,2,4,1,2,4.0,2.0,3.0,2,3
