Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
51,0,0.5,Sales,6,2,Life Sciences,1,0,1,Healthcare Representative,0.5,0.6375460768825698,1,0.0,0,1,6,1,0,0,3.0,4.0,2.0,3,3
31,1,1.0,Research & Development,10,1,Life Sciences,2,0,1,Research Scientist,0.0,0.16745655608214852,0,0.8571428571428571,1,6,3,5,1,4,3.0,2.0,4.0,2,4
32,0,1.0,Research & Development,17,4,Other,3,1,4,Sales Executive,0.5,0.9646656134807793,1,0.2857142857142857,3,5,2,5,0,3,2.0,2.0,1.0,3,3
38,0,0.0,Research & Development,2,5,Life Sciences,4,1,3,Human Resources,0.5,0.38504476040021063,3,0.0,3,13,5,8,7,5,4.0,4.0,3.0,2,3
32,0,0.5,Research & Development,10,1,Medical,5,1,1,Sales Executive,0.0,0.07019483938915219,4,0.0714285714285714,2,9,2,6,0,4,4.0,1.0,3.0,3,3
46,0,0.5,Research & Development,8,3,Life Sciences,6,0,4,Research Director,0.5,0.16124275934702476,3,0.1428571428571428,0,28,5,7,7,7,3.0,2.0,2.0,3,3
28,1,0.5,Research & Development,11,2,Medical,7,1,2,Sales Executive,0.0,0.25297525013164823,2,0.6428571428571429,1,5,2,0,0,0,1.0,3.0,1.0,3,4
29,0,0.5,Research & Development,18,3,Life Sciences,8,1,2,Sales Executive,0.5,0.11237493417588204,2,0.7857142857142857,3,10,2,0,0,0,1.0,2.0,3.0,3,4
31,0,0.5,Research & Development,1,3,Life Sciences,9,1,3,Laboratory Technician,0.5,0.054502369668246446,0,0.7142857142857141,0,10,2,9,7,8,2.0,4.0,3.0,3,4
25,0,0.0,Research & Development,7,4,Medical,10,0,4,Laboratory Technician,1.0,0.6558715113217483,1,0.1428571428571428,1,6,2,6,1,5,2.0,1.0,3.0,3,3
45,0,0.5,Research & Development,17,2,Medical,11,1,2,Laboratory Technician,0.5,0.36766719325961034,0,0.1428571428571428,2,21,2,20,4,10,3.0,4.0,3.0,2,3
36,0,0.5,Research & Development,28,1,Life Sciences,12,1,1,Laboratory Technician,0.5,0.12469720905739864,0,0.0714285714285714,2,16,2,15,10,11,3.0,4.0,3.0,3,3
55,0,0.5,Research & Development,14,4,Life Sciences,13,0,1,Sales Executive,0.0,0.23849394418114797,0,0.4285714285714285,0,37,2,36,4,13,4.0,1.0,3.0,3,3
47,1,0.0,Research & Development,1,1,Medical,14,1,1,Research Scientist,0.5,0.25028962611901,1,0.0,2,10,4,10,9,9,1.0,2.0,2.0,2,3
28,0,0.5,Research & Development,1,3,Life Sciences,15,1,1,Manufacturing Director,0.5,0.08335966298051606,1,0.2142857142857143,0,5,2,5,0,4,4.0,4.0,2.0,3,3
37,0,0.5,Research & Development,1,3,Life Sciences,16,1,2,Healthcare Representative,0.5,0.22838335966298054,4,0.0,0,7,2,5,0,1,3.0,4.0,4.0,3,3
21,0,0.5,Research & Development,3,2,Life Sciences,17,1,1,Laboratory Technician,0.0,0.16872037914691945,1,0.0714285714285714,3,3,3,3,1,0,4.0,3.0,4.0,2,3
37,0,0.0,Research & Development,1,3,Medical,18,1,2,Sales Executive,1.0,0.16419167983149027,2,0.1428571428571428,1,15,2,5,0,2,1.0,4.0,3.0,3,3
35,0,0.5,Sales,7,4,Life Sciences,19,1,1,Sales Representative,1.0,0.07525013164823594,7,0.3571428571428571,0,10,5,7,6,2,2.0,2.0,2.0,2,3
38,0,0.5,Research & Development,8,3,Life Sciences,20,0,1,Manager,1.0,0.3086361242759347,1,0.0,1,8,5,8,7,7,1.0,1.0,3.0,3,3
26,0,1.0,Research & Development,1,4,Other,21,1,2,Laboratory Technician,1.0,0.496998420221169,1,0.4999999999999999,0,6,3,6,1,4,3.0,2.0,1.0,3,3
50,0,0.5,Sales,8,4,Life Sciences,22,1,1,Research Scientist,1.0,0.4559241706161138,3,0.8571428571428571,0,28,2,10,1,6,1.0,2.0,2.0,2,4
53,0,0.5,Research & Development,11,4,Life Sciences,23,0,2,Research Scientist,0.5,0.05997893628225382,3,0.0,0,21,2,5,1,3,3.0,3.0,2.0,3,3
29,0,1.0,Research & Development,16,4,Medical,25,1,1,Laboratory Technician,0.0,0.28983675618746707,1,0.0,1,10,2,10,0,9,2.0,4.0,2.0,3,3
55,0,0.5,Research & Development,1,4,Other,26,0,1,Research Scientist,0.5,0.3048973143759873,3,0.0,0,12,2,10,0,8,2.0,4.0,3.0,3,3
26,0,1.0,Research & Development,9,3,Life Sciences,27,0,1,Manager,0.5,0.804739336492891,1,0.7857142857142857,0,5,3,5,3,3,1.0,1.0,3.0,3,4
37,0,0.5,Sales,5,1,Marketing,28,1,1,Research Scientist,0.0,0.08931016324381255,1,0.0,0,17,2,17,5,7,4.0,4.0,3.0,3,3
44,1,1.0,Research & Development,1,2,Medical,29,1,2,Research Scientist,1.0,0.49099526066350707,3,0.2142857142857143,1,19,2,1,0,0,4.0,3.0,1.0,2,3
38,0,0.5,Sales,2,3,Marketing,30,0,1,Manager,1.0,0.1810953133228015,9,0.0714285714285714,0,10,3,2,1,2,4.0,4.0,3.0,2,3
26,1,0.5,Research & Development,4,3,Medical,31,1,3,Research Scientist,1.0,0.3077935755660874,2,0.0,0,5,5,3,0,2,1.0,2.0,3.0,2,3
28,0,0.5,Research & Development,7,3,Other,32,1,1,Human Resources,0.0,0.45434439178515007,1,0.1428571428571428,0,5,6,5,0,2,4.0,4.0,3.0,2,3
49,0,1.0,Research & Development,1,1,Medical,33,0,2,Research Scientist,0.0,0.13596629805160612,9,0.1428571428571428,0,22,2,3,1,2,3.0,1.0,3.0,3,3
36,0,0.5,Sales,5,3,Technical Degree,34,1,3,Sales Executive,0.0,0.23149025803054243,4,0.2142857142857143,0,10,2,8,7,7,3.0,2.0,3.0,3,3
31,0,1.0,Research & Development,9,4,Medical,35,1,1,Sales Executive,1.0,0.19352290679304898,1,0.3571428571428571,1,2,4,2,2,2,4.0,2.0,2.0,3,3
26,1,0.5,Research & Development,8,3,Medical,36,1,2,Manager,0.0,0.7781990521327015,1,0.0714285714285714,2,8,5,8,7,4,4.0,4.0,3.0,3,3
37,0,1.0,Sales,9,1,Marketing,37,1,1,Laboratory Technician,0.5,0.026592943654555022,1,0.2142857142857143,0,4,3,4,1,2,2.0,4.0,2.0,3,3
42,0,1.0,Sales,2,2,Marketing,38,1,3,Research Director,0.5,0.10252764612954188,5,0.1428571428571428,0,23,2,20,4,8,3.0,2.0,4.0,3,3
18,1,0.5,Research & Development,1,4,Life Sciences,39,1,1,Sales Executive,0.0,0.069826224328594,1,0.2142857142857143,2,0,3,0,0,0,3.0,3.0,3.0,2,3
35,0,0.5,Sales,20,2,Life Sciences,40,1,1,Laboratory Technician,0.5,0.21827277514481305,0,0.5714285714285713,0,12,2,11,6,9,3.0,2.0,2.0,2,3
36,0,1.0,Research & Development,8,3,Other,41,0,3,Sales Executive,0.5,0.3134807793575566,4,0.0714285714285714,2,4,2,1,0,0,3.0,3.0,3.0,2,3
51,0,0.5,Research & Development,2,3,Life Sciences,42,1,2,Laboratory Technician,1.0,0.2457082675092154,5,0.1428571428571428,0,13,2,4,1,2,4.0,2.0,3.0,2,3
41,0,0.5,Research & Development,29,1,Life Sciences,43,1,1,Laboratory Technician,0.0,0.07214323328067404,1,0.0714285714285714,0,22,6,22,0,4,4.0,2.0,3.0,3,3
